gene_name,start,end,feature_type,strand,locus_tag,chromosome
5'dnaA,0,419,5'UTR,+,BSU_00010,NC_000964.3
dnaA,410,1750,CDS,+,BSU_00010,NC_000964.3
3'dnaA,1751,1790,3'UTR,+,BSU_00010,NC_000964.3
5'dnaN,1791,1938,5'UTR,+,BSU_00020,NC_000964.3
dnaN,1939,3075,CDS,+,BSU_00020,NC_000964.3
3'dnaN,3076,3115,3'UTR,+,BSU_00020,NC_000964.3
5'rlbA,3116,3205,5'UTR,+,BSU_00030,NC_000964.3
rlbA,3206,3436,CDS,+,BSU_00030,NC_000964.3
recF,3437,4549,CDS,+,BSU_00040,NC_000964.3
remB,4550,4812,CDS,+,BSU_00050,NC_000964.3
3'remB,4813,4839,3'UTR,+,BSU_00050,NC_000964.3
5'gyrB,4840,4866,5'UTR,+,BSU_00060,NC_000964.3
gyrB,4867,6783,CDS,+,BSU_00060,NC_000964.3
3'gyrB,6784,6823,3'UTR,+,BSU_00060,NC_000964.3
5'gyrA,6824,6993,5'UTR,+,BSU_00070,NC_000964.3
gyrA,6994,9459,CDS,+,BSU_00070,NC_000964.3
3'gyrA,9460,9499,3'UTR,+,BSU_00070,NC_000964.3
5'rrnO-16S,9500,9809,5'UTR,+,BSU_rRNA_1,NC_000964.3
rrnO-16S,9810,11364,rRNA,+,BSU_rRNA_1,NC_000964.3
3'rrnO-16S,11365,11404,3'UTR,+,BSU_rRNA_1,NC_000964.3
5'trnO-Ile,11405,11453,tRNA,+,BSU_tRNA_5,NC_000964.3
trnO-Ile,11454,11550,tRNA,+,BSU_tRNA_5,NC_000964.3
trnO-Ala,11542,11637,tRNA,+,BSU_tRNA_6,NC_000964.3
3'trnO-Ala,11638,11672,tRNA,+,BSU_tRNA_6,NC_000964.3
5'rrnO-23S,11673,11708,5'UTR,+,BSU_rRNA_2,NC_000964.3
rrnO-23S,11709,14636,rRNA,+,BSU_rRNA_2,NC_000964.3
3'rrnO-23S,14637,14663,3'UTR,+,BSU_rRNA_2,NC_000964.3
5'rrnO-5S,14664,14691,5'UTR,+,BSU_rRNA_3,NC_000964.3
rrnO-5S,14692,14846,rRNA,+,BSU_rRNA_3,NC_000964.3
yaaC,14847,15794,CDS,-,BSU_00080,NC_000964.3
5'yaaC,15795,15854,5'UTR,-,BSU_00080,NC_000964.3
