gene_name,start,end,feature_type,strand,locus_tag,chromosome
5'thrL,1,189,5'UTR,+,b0001,NC_000913.3
thrL,190,255,CDS,+,b0001,NC_000913.3
3'thrL,256,295,3'UTR,+,b0001,NC_000913.3
5'thrA,296,336,5'UTR,+,b0002,NC_000913.3
thrA,337,2799,CDS,+,b0002,NC_000913.3
thrB,2800,3733,CDS,+,b0003,NC_000913.3
thrC,3734,5020,CDS,+,b0004,NC_000913.3
3'thrC,5021,5060,3'UTR,+,b0004,NC_000913.3
5'yaaX,5061,5233,5'UTR,+,b0005,NC_000913.3
yaaX,5234,5530,CDS,+,b0005,NC_000913.3
3'yaaX,5531,5606,3'UTR,+,b0005,NC_000913.3
3'yaaA,5607,5682,3'UTR,-,b0006,NC_000913.3
yaaA,5683,6459,CDS,-,b0006,NC_000913.3
5'yaaA,6460,6494,5'UTR,-,b0006,NC_000913.3
3'yaaJ,6495,6528,3'UTR,-,b0007,NC_000913.3
yaaJ,6529,7959,CDS,-,b0007,NC_000913.3
5'yaaJ,7960,8098,5'UTR,-,b0007,NC_000913.3
5'talB,8099,8237,5'UTR,+,b0008,NC_000913.3
talB,8238,9191,CDS,+,b0008,NC_000913.3
3'talB,9192,9231,3'UTR,+,b0008,NC_000913.3
5'mog,9232,9305,5'UTR,+,b0009,NC_000913.3
mog,9306,9893,CDS,+,b0009,NC_000913.3
satP,9894,10494,CDS,-,b0010,NC_000913.3
5'satP,10495,10602,5'UTR,-,b0010,NC_000913.3
3'yaaW,10603,10642,3'UTR,-,b0011,NC_000913.3
yaaW,10643,11356,CDS,-,b0011,NC_000913.3
mbiA,10830,11315,CDS,+,b0012,NC_000913.3
3'mbiA,11316,11348,3'UTR,+,b0012,NC_000913.3
3'yaaI,11349,11381,3'UTR,-,b0013,NC_000913.3
yaaI,11382,11786,CDS,-,b0013,NC_000913.3
5'yaaI,11787,11974,5'UTR,-,b0013,NC_000913.3
5'dnaK,11975,12162,5'UTR,+,b0014,NC_000913.3
dnaK,12163,14079,CDS,+,b0014,NC_000913.3
3'dnaK,14080,14119,3'UTR,+,b0014,NC_000913.3
5'dnaJ,14120,14167,5'UTR,+,b0015,NC_000913.3
dnaJ,14168,15298,CDS,+,b0015,NC_000913.3
3'dnaJ,15299,15338,3'UTR,+,b0015,NC_000913.3
5'insL1,15339,15444,5'UTR,+,b0016,NC_000913.3
insL1,15445,16557,CDS,+,b0016,NC_000913.3
3'insL1,16558,16653,3'UTR,+,b0016,NC_000913.3
3'mokC,16654,16750,3'UTR,-,b0018,NC_000913.3
mokC,16751,16960,CDS,-,b0018,NC_000913.3
hokC,16751,16903,CDS,-,b4412,NC_000913.3
sokC,16904,17070,ncRNA,+,b4413,NC_000913.3
5'nhaA,17071,17488,5'UTR,+,b0019,NC_000913.3
nhaA,17489,18655,CDS,+,b0019,NC_000913.3
3'nhaA,18656,18684,3'UTR,+,b0019,NC_000913.3
5'nhaR,18685,18714,5'UTR,+,b0020,NC_000913.3
nhaR,18715,19620,CDS,+,b0020,NC_000913.3
3'nhaR,19621,19715,3'UTR,+,b0020,NC_000913.3
3'insB1,19716,19810,3'UTR,-,b0021,NC_000913.3
insB1,19811,20314,CDS,-,b0021,NC_000913.3
insA1,20233,20508,CDS,-,b0022,NC_000913.3
5'insA1,20509,20774,5'UTR,-,b0022,NC_000913.3
3'rpsT,20775,20814,3'UTR,-,b0023,NC_000913.3
rpsT,20815,21078,CDS,-,b0023,NC_000913.3
5'rpsT,21079,21129,5'UTR,-,b0023,NC_000913.3
5'yaaY,21130,21180,5'UTR,+,b0024,NC_000913.3
yaaY,21181,21406,CDS,+,b0024,NC_000913.3
ribF,21407,22348,CDS,+,b0025,NC_000913.3
3'ribF,22349,22369,3'UTR,+,b0025,NC_000913.3
5'ileS,22370,22390,5'UTR,+,b0026,NC_000913.3
ileS,22391,25207,CDS,+,b0026,NC_000913.3
lspA,25207,25701,CDS,+,b0027,NC_000913.3
3'lspA,25702,25741,3'UTR,+,b0027,NC_000913.3
5'fkpB,25742,25825,5'UTR,+,b0028,NC_000913.3
fkpB,25826,26276,CDS,+,b0028,NC_000913.3
ispH,26277,27227,CDS,+,b0029,NC_000913.3
3'ispH,27228,27259,3'UTR,+,b0029,NC_000913.3
5'rihC,27260,27292,5'UTR,+,b0030,NC_000913.3
rihC,27293,28207,CDS,+,b0030,NC_000913.3
3'rihC,28208,28247,3'UTR,+,b0030,NC_000913.3
5'dapB,28248,28373,5'UTR,+,b0031,NC_000913.3
dapB,28374,29195,CDS,+,b0031,NC_000913.3
3'dapB,29196,29235,3'UTR,+,b0031,NC_000913.3
5'carA,29236,29650,5'UTR,+,b0032,NC_000913.3
carA,29651,30816,CDS,+,b0032,NC_000913.3
carB,30817,34038,CDS,+,b0033,NC_000913.3
3'carB,34039,34078,3'UTR,+,b0033,NC_000913.3
5'caiF,34079,34299,5'UTR,+,b0034,NC_000913.3
caiF,34300,34695,CDS,+,b0034,NC_000913.3
3'caiF,34696,34737,3'UTR,+,b0034,NC_000913.3
3'caiE,34738,34780,3'UTR,-,b0035,NC_000913.3
