gene_name,start,end,feature_type,strand,locus_tag,chromosome
dnaA,87,1439,CDS,+,MXAN_RS00015,NC_008095.1
3'dnaA,1440,1479,3'UTR,+,MXAN_RS00015,NC_008095.1
5'MXAN_RS00020,1480,1545,5'UTR,+,MXAN_RS00020,NC_008095.1
MXAN_RS00020,1546,3420,CDS,+,MXAN_RS00020,NC_008095.1
3'MXAN_RS00020,3421,3486,3'UTR,+,MXAN_RS00020,NC_008095.1
3'MXAN_RS00025,3487,3552,3'UTR,-,MXAN_RS00025,NC_008095.1
MXAN_RS00025,3553,4008,CDS,-,MXAN_RS00025,NC_008095.1
MXAN_RS00030,4009,4491,CDS,-,MXAN_RS00030,NC_008095.1
5'MXAN_RS00030,4492,4593,5'UTR,-,MXAN_RS00030,NC_008095.1
3'MXAN_RS00035,4594,4633,3'UTR,-,MXAN_RS00035,NC_008095.1
MXAN_RS00035,4634,5485,CDS,-,MXAN_RS00035,NC_008095.1
5'MXAN_RS00035,5486,5558,5'UTR,-,MXAN_RS00035,NC_008095.1
5'MXAN_RS00040,5559,5631,5'UTR,+,MXAN_RS00040,NC_008095.1
MXAN_RS00040,5632,7044,CDS,+,MXAN_RS00040,NC_008095.1
MXAN_RS00045,7044,8561,CDS,+,MXAN_RS00045,NC_008095.1
3'MXAN_RS00045,8562,8613,3'UTR,+,MXAN_RS00045,NC_008095.1
3'MXAN_RS00050,8614,8666,3'UTR,-,MXAN_RS00050,NC_008095.1
MXAN_RS00050,8667,8975,CDS,-,MXAN_RS00050,NC_008095.1
5'MXAN_RS00050,8976,9220,5'UTR,-,MXAN_RS00050,NC_008095.1
3'MXAN_RS00055,9221,9260,3'UTR,-,MXAN_RS00055,NC_008095.1
MXAN_RS00055,9261,10496,CDS,-,MXAN_RS00055,NC_008095.1
5'MXAN_RS00055,10497,10619,5'UTR,-,MXAN_RS00055,NC_008095.1
3'MXAN_RS00060,10620,10659,3'UTR,-,MXAN_RS00060,NC_008095.1
MXAN_RS00060,10660,12276,CDS,-,MXAN_RS00060,NC_008095.1
5'MXAN_RS00060,12277,12368,5'UTR,-,MXAN_RS00060,NC_008095.1
3'MXAN_RS00065,12369,12408,3'UTR,-,MXAN_RS00065,NC_008095.1
