"RIL-seq RNA pairs identified in E. coli (stationary phase) by Melamed et. al., Moleceular Cell 2016 (Table S2)'. Coordinates - E. coli K12 MG1655 (NC_000913.2) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA1 name,RNA2 name,# of chimeric fragments,# of libraries,Odds Ratio,Normalized Odds Ratio,Fisher's exact test p-value,Free energy of hybridization (kcal/mol),Genomic annotation of RNA1,Genomic annotation of RNA2,RNA1 description,RNA2 description,RNA1 from,RNA1 to,RNA1 strand,RNA2 from,RNA2 to,RNA2 strand,Other fragments of RNA1,Other fragments of RNA2,Total other fragments,RNA1 in total RNA (# of reads),RNA2 in total RNA (# of reads),RNA1 IP/Total ratio,RNA2 IP/Total ratio,RNA1 EcoCyc ID,RNA2 EcoCyc ID,Code,Number
fnrS,aceA,326,2,16.6,1.5,1.14E-258,-8.3,sRNA,CDS,-,isocitrate lyase,1407151,1407200,+,4215108,4215396,+,20450,22257,23212773,437,3911,89.0,10.8,G0-10677,EG10022,aceA::fnrS,606
fnrS,aceA,20,2,5.2,0.5,9.94E-03,-4.7,sRNA,CDS,-,isocitrate lyase,1407152,1407163,+,4215415,4215495,+,20756,4328,23230702,437,672,89.0,12.1,G0-10677,EG10022,aceA::fnrS,607
ymfL.AS,aceA,22,2,12.8,0.0,1.50E-10,-10.0,AS,CDS,e14 prophage; predicted DNA-binding transcriptional regulator,isocitrate lyase,1202999,1203044,-,4215594,4215960,+,1765,22676,23231343,13281,3565,0.3,11.9,G6591.AS,EG10022,aceA::ymfL.AS,1579
glgS,aceA.aceK.IGT,19,U,10.5,0.2,5.93E-07,-7.2,CDS,IGT,predicted glycogen synthesis protein,isocitrate lyase : isocitrate dehydrogenase kinase/phosphatase,3189777,3189857,-,4216501,4216650,+,3998,10516,23241273,381,1609,19.7,12.3,EG11381,EG10022.EG10026.IGT,aceA.aceK.IGT::glgS,1577
gatR_1,aceK,30,2,54.7,23.7,2.77E-27,-15.2,CDS,CDS,-,isocitrate dehydrogenase kinase/phosphatase,2167726,2167783,-,4216917,4216987,+,18,687239,22568519,1,2210,89.8,582.0,G8207,EG10026,aceK::gatR_1,1584
yfjJ,aceK,44,2,20.6,20.6,2.54E-30,-10.2,CDS,CDS,CP4-57 prophage; predicted protein,isocitrate dehydrogenase kinase/phosphatase,2759158,2759177,+,4216907,4216986,+,70,687225,22568467,1,2210,213.3,582.0,G7361,EG10026,aceK::yfjJ,1593
ycaK.EST3UTR,aceK,19,1,26.0,2.9,1.72E-11,-15.8,3UTR,CDS,conserved protein,isocitrate dehydrogenase kinase/phosphatase,949480,949509,+,4216918,4216987,+,24,687250,22568513,6,2210,13.4,582.0,EG12702.EST3UTR.39,EG10026,aceK::ycaK.3UTR,1547
malT.5UTR,aceK,125,2,6.2,2.7,2.22E-45,-14.0,5UTR,CDS,DNA-binding transcriptional activator for the mal regulon and maltotriose-ATP-binding protein,isocitrate dehydrogenase kinase/phosphatase,3551014,3551084,+,4216918,4216987,+,665,687144,22567872,31,2210,47.7,582.0,EG10562.5UTR,EG10026,aceK::malT,1587
yqeG,aceK,35,1,7.7,1.2,1.66E-11,-8.2,CDS,CDS,predicted transporter,isocitrate dehydrogenase kinase/phosphatase,2985061,2985073,+,4216566,4216987,+,131,780428,22475212,18,5775,17.3,252.9,G7465,EG10026,aceK::yqeG,1594
ydgA,aceK,35,1,4.3,0.5,4.86E-05,-8.8,CDS,CDS,"conserved protein, DUF945 family",isocitrate dehydrogenase kinase/phosphatase,1687902,1687973,+,4216946,4216987,+,267,687234,22568270,49,2210,11.5,582.0,G6865,EG10026,aceK::ydgA,1591
